timestep,policy,total_messages,total_bytes,byte_hops,max_link_load_bytes,mean_active_link_load_bytes,hot_link_count,max_hops,serialization_cycles,estimated_latency_cycles,migration_byte_hops,moved_tasks,realized_objective
75,static,64.0,16384.0,84736.0,768.0,383.420814479638,8,13,12.0,25.0,0.0,0,87808.0
76,static,64.0,16384.0,84992.0,768.0,384.579185520362,8,13,12.0,25.0,0.0,0,88064.0
77,static,64.0,16384.0,85504.0,768.0,386.89592760180994,8,13,12.0,25.0,0.0,0,88576.0
78,static,64.0,16384.0,87296.0,768.0,395.00452488687785,8,13,12.0,25.0,0.0,0,90368.0
79,static,64.0,16384.0,88320.0,768.0,399.63800904977376,11,13,12.0,25.0,0.0,0,91392.0
80,static,64.0,16384.0,89344.0,1024.0,402.45045045045043,4,13,16.0,29.0,0.0,0,93440.0
81,static,64.0,16384.0,89600.0,1024.0,405.42986425339365,4,13,16.0,29.0,0.0,0,93696.0
82,static,64.0,16384.0,89856.0,1024.0,406.5882352941176,4,13,16.0,29.0,0.0,0,93952.0
83,static,64.0,16384.0,92416.0,768.0,414.42152466367713,19,13,12.0,25.0,0.0,0,95488.0
84,static,64.0,16384.0,92672.0,768.0,415.5695067264574,19,13,12.0,25.0,0.0,0,95744.0
85,static,64.0,16384.0,93184.0,768.0,417.86547085201795,20,13,12.0,25.0,0.0,0,96256.0
86,static,64.0,16384.0,93184.0,768.0,417.86547085201795,20,13,12.0,25.0,0.0,0,96256.0
87,static,64.0,16384.0,94464.0,768.0,425.5135135135135,25,13,12.0,25.0,0.0,0,97536.0
88,static,64.0,16384.0,94464.0,1024.0,423.60538116591925,3,13,16.0,29.0,0.0,0,98560.0
89,static,64.0,16384.0,95232.0,1024.0,427.0493273542601,3,13,16.0,29.0,0.0,0,99328.0
90,static,64.0,16384.0,96256.0,1024.0,431.64125560538116,3,13,16.0,29.0,0.0,0,100352.0
91,static,64.0,16384.0,97024.0,1024.0,437.0450450450451,5,13,16.0,29.0,0.0,0,101120.0
92,static,64.0,16384.0,97792.0,1024.0,442.4977375565611,9,13,16.0,29.0,0.0,0,101888.0
93,static,64.0,16384.0,98048.0,1024.0,443.6561085972851,8,13,16.0,29.0,0.0,0,102144.0
94,static,64.0,16384.0,98816.0,1024.0,447.131221719457,6,13,16.0,29.0,0.0,0,102912.0
95,static,64.0,16384.0,98304.0,1024.0,446.8363636363636,7,13,16.0,29.0,0.0,0,102400.0
96,static,64.0,16384.0,98560.0,1024.0,448.0,7,13,16.0,29.0,0.0,0,102656.0
97,static,64.0,16384.0,101888.0,1024.0,461.0316742081448,7,13,16.0,29.0,0.0,0,105984.0
98,static,64.0,16384.0,102144.0,1024.0,462.1900452488688,7,13,16.0,29.0,0.0,0,106240.0
99,static,64.0,16384.0,103168.0,1024.0,466.8235294117647,7,13,16.0,29.0,0.0,0,107264.0
4,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
5,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
6,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
7,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
8,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
9,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
10,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
11,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
12,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
13,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
14,reactive,64.0,16384.0,4096.0,256.0,256.0,16,7,4.0,11.0,0.0,0,5120.0
15,reactive,64.0,16384.0,7168.0,256.0,256.0,28,7,4.0,11.0,0.0,0,8192.0
16,reactive,64.0,16384.0,10240.0,256.0,256.0,40,7,4.0,11.0,0.0,0,11264.0
17,reactive,64.0,16384.0,14592.0,256.0,256.0,57,7,4.0,11.0,0.0,0,15616.0
18,reactive,64.0,16384.0,16384.0,512.0,260.06349206349205,1,7,8.0,15.0,0.0,0,18432.0
19,reactive,64.0,16384.0,21760.0,512.0,262.1686746987952,2,7,8.0,15.0,0.0,0,23808.0
20,reactive,64.0,16384.0,25600.0,512.0,261.2244897959184,2,7,8.0,15.0,0.0,0,27648.0
21,reactive,64.0,16384.0,28416.0,512.0,263.1111111111111,3,7,8.0,15.0,0.0,0,30464.0
22,reactive,64.0,16384.0,29952.0,512.0,279.9252336448598,10,8,8.0,16.0,0.0,0,32000.0
23,reactive,64.0,16384.0,33280.0,512.0,275.0413223140496,9,8,8.0,16.0,1024.0,3,35840.0
24,reactive,64.0,16384.0,36096.0,512.0,284.2204724409449,14,8,8.0,16.0,4096.0,5,40192.0
25,reactive,64.0,16384.0,38144.0,512.0,291.17557251908397,18,8,8.0,16.0,1024.0,3,40704.0
26,reactive,64.0,16384.0,39424.0,512.0,279.60283687943263,13,8,8.0,16.0,3584.0,6,43264.0
27,reactive,64.0,16384.0,39936.0,512.0,279.27272727272725,13,8,8.0,16.0,512.0,2,42240.0
28,reactive,64.0,16384.0,40704.0,512.0,288.6808510638298,18,8,8.0,16.0,512.0,2,43008.0
29,reactive,64.0,16384.0,40448.0,512.0,290.9928057553957,19,8,8.0,16.0,512.0,2,42752.0
30,reactive,64.0,16384.0,41216.0,512.0,274.7733333333333,11,13,8.0,21.0,1536.0,2,44032.0
31,reactive,64.0,16384.0,45056.0,512.0,276.4171779141104,13,13,8.0,21.0,512.0,2,47360.0
32,reactive,64.0,16384.0,45312.0,768.0,279.7037037037037,3,13,12.0,25.0,0.0,0,48384.0
33,reactive,64.0,16384.0,45824.0,768.0,279.4146341463415,3,13,12.0,25.0,0.0,0,48896.0
34,reactive,64.0,16384.0,46080.0,768.0,280.9756097560976,3,13,12.0,25.0,0.0,0,49152.0
35,reactive,64.0,16384.0,44288.0,768.0,278.54088050314465,1,12,12.0,24.0,3584.0,11,49152.0
36,reactive,64.0,16384.0,43520.0,512.0,284.44444444444446,17,12,8.0,20.0,1024.0,4,46080.0
37,reactive,64.0,16384.0,44288.0,512.0,285.72903225806454,18,12,8.0,20.0,0.0,0,46336.0
38,reactive,64.0,16384.0,44544.0,512.0,285.53846153846155,18,12,8.0,20.0,0.0,0,46592.0
39,reactive,64.0,16384.0,46336.0,512.0,282.5365853658537,17,12,8.0,20.0,0.0,0,48384.0
40,reactive,64.0,16384.0,46592.0,512.0,284.0975609756098,18,12,8.0,20.0,0.0,0,48640.0
41,reactive,64.0,16384.0,48640.0,512.0,281.15606936416185,17,12,8.0,20.0,0.0,0,50688.0
42,reactive,64.0,16384.0,48384.0,512.0,281.30232558139534,17,12,8.0,20.0,512.0,2,50688.0
43,reactive,64.0,16384.0,48384.0,512.0,281.30232558139534,17,12,8.0,20.0,0.0,0,50432.0
44,reactive,64.0,16384.0,47872.0,512.0,281.6,17,12,8.0,20.0,512.0,2,50176.0
45,reactive,64.0,16384.0,51456.0,512.0,287.463687150838,22,12,8.0,20.0,0.0,0,53504.0
46,reactive,64.0,16384.0,51712.0,512.0,297.1954022988506,28,12,8.0,20.0,1024.0,4,54272.0
47,reactive,64.0,16384.0,51200.0,512.0,297.6744186046512,28,12,8.0,20.0,512.0,2,53504.0
48,reactive,64.0,16384.0,51968.0,768.0,307.50295857988164,4,12,12.0,24.0,0.0,0,55040.0
49,reactive,64.0,16384.0,52480.0,768.0,299.8857142857143,4,12,12.0,24.0,0.0,0,55552.0
50,reactive,64.0,16384.0,55040.0,768.0,333.57575757575756,5,9,12.0,21.0,3072.0,2,59648.0
51,reactive,64.0,16384.0,52480.0,512.0,310.5325443786982,36,9,8.0,17.0,6144.0,8,57600.0
52,reactive,64.0,16384.0,52736.0,512.0,312.0473372781065,37,9,8.0,17.0,0.0,0,54784.0
53,reactive,64.0,16384.0,53248.0,768.0,313.22352941176473,1,9,12.0,21.0,512.0,2,56576.0
54,reactive,64.0,16384.0,57600.0,768.0,316.4835164835165,1,14,12.0,26.0,0.0,0,60672.0
55,reactive,64.0,16384.0,55552.0,768.0,326.77647058823527,3,14,12.0,26.0,4096.0,8,60672.0
56,reactive,64.0,16384.0,51968.0,512.0,309.3333333333333,35,13,8.0,21.0,4608.0,12,56320.0
57,reactive,64.0,16384.0,52480.0,512.0,308.70588235294116,35,13,8.0,21.0,0.0,0,54528.0
58,reactive,64.0,16384.0,51712.0,512.0,309.65269461077844,35,13,8.0,21.0,1536.0,3,54528.0
59,reactive,64.0,16384.0,50432.0,512.0,319.1898734177215,39,9,8.0,17.0,2560.0,3,53760.0
60,reactive,64.0,16384.0,51456.0,768.0,327.7452229299363,5,10,12.0,22.0,3584.0,4,56320.0
61,reactive,64.0,16384.0,51456.0,768.0,338.5263157894737,10,10,12.0,22.0,4096.0,6,56576.0
62,reactive,64.0,16384.0,50688.0,768.0,329.14285714285717,6,9,12.0,21.0,2048.0,5,54784.0
