policy,bandwidth,beta,total_byte_hops,mean_max_link_load,p95_max_link_load,mean_latency,p95_latency,total_migration_byte_hops,total_objective,total_moved_tasks,objective_improvement_vs_reactive,byte_hop_improvement_vs_reactive,latency_improvement_vs_reactive,oracle_capture_vs_reactive
history,128.0,4.0,7896576.0,1498.6666666666667,2112.0,23.03125,27.75,4372480.0,10658304.0,4762,0.8941730316568189,0.986902677818842,1.0262324739936681,-0.24226095562764613
characteristic,128.0,4.0,4533504.0,1045.3333333333333,1536.0,17.708333333333332,25.0,2361344.0,6115584.0,3032,1.5583741470969903,1.7190129312778812,1.3347058823529414,0.7334359707483368
oracle,128.0,4.0,3452672.0,749.3333333333334,1024.0,12.947916666666666,17.0,2268160.0,4874496.0,3087,1.9551494144215116,2.257136501816564,1.8254223652453743,1.0
static,256.0,4.0,8548096.0,1946.6666666666667,3328.0,19.166666666666668,24.25,0.0,9295616.0,0,1.0252540552449672,0.9116827887754185,0.9119565217391304,0.05042063012041568
reactive,256.0,4.0,7793152.0,1576.0,2304.0,17.479166666666668,21.25,2264064.0,9530368.0,3017,1.0,1.0,1.0,0.0
history,256.0,4.0,7896576.0,1498.6666666666667,2112.0,17.177083333333332,20.25,4372480.0,10658304.0,4762,0.8941730316568189,0.986902677818842,1.017586416009703,-0.24226095562764613
characteristic,256.0,4.0,4533504.0,1045.3333333333333,1536.0,13.625,18.25,2361344.0,6115584.0,3032,1.5583741470969903,1.7190129312778812,1.2828746177370032,0.7334359707483368
oracle,256.0,4.0,3452672.0,749.3333333333334,1024.0,10.020833333333334,13.0,2268160.0,4874496.0,3087,1.9551494144215116,2.257136501816564,1.7442827442827442,1.0
static,16.0,8.0,8548096.0,1946.6666666666667,3328.0,133.22916666666666,219.0,0.0,10043136.0,0,1.0289312023654762,0.9234524273007697,0.8254886630179828,0.05640872720043735
reactive,16.0,8.0,7893760.0,1578.6666666666667,2304.0,109.97916666666667,155.0,2455040.0,10333696.0,3197,1.0,1.0,1.0,0.0
history,16.0,8.0,7741440.0,1469.3333333333333,2048.0,103.3125,139.0,4438016.0,11088896.0,4706,0.9318958352571798,1.0196759259259258,1.0645291389393023,-0.1466129914020178
characteristic,16.0,8.0,4391936.0,1066.6666666666667,1792.0,75.71875,119.5,2165760.0,6294016.0,2974,1.6418286829903197,1.7973303800419678,1.4524693905626633,0.7842552557029969
oracle,16.0,8.0,3388672.0,738.6666666666666,1024.0,53.84375,72.5,2453504.0,5182720.0,3198,1.9938750308718203,2.3294553146483343,2.0425614238730896,1.0
static,32.0,8.0,8548096.0,1946.6666666666667,3328.0,72.39583333333333,115.0,0.0,10043136.0,0,1.0289312023654762,0.9234524273007697,0.8376978417266188,0.05640872720043735
reactive,32.0,8.0,7893760.0,1578.6666666666667,2304.0,60.645833333333336,83.0,2455040.0,10333696.0,3197,1.0,1.0,1.0,0.0
history,32.0,8.0,7741440.0,1469.3333333333333,2048.0,57.395833333333336,75.0,4438016.0,11088896.0,4706,0.9318958352571798,1.0196759259259258,1.0566243194192377,-0.1466129914020178
characteristic,32.0,8.0,4391936.0,1066.6666666666667,1792.0,42.385416666666664,63.5,2165760.0,6294016.0,2974,1.6418286829903197,1.7973303800419678,1.4308183828950602,0.7842552557029969
oracle,32.0,8.0,3388672.0,738.6666666666666,1024.0,30.760416666666668,40.5,2453504.0,5182720.0,3198,1.9938750308718203,2.3294553146483343,1.971554351506942,1.0
static,64.0,8.0,8548096.0,1946.6666666666667,3328.0,41.979166666666664,63.0,0.0,10043136.0,0,1.0289312023654762,0.9234524273007697,0.8570719602977668,0.05640872720043735
reactive,64.0,8.0,7893760.0,1578.6666666666667,2304.0,35.979166666666664,47.0,2455040.0,10333696.0,3197,1.0,1.0,1.0,0.0
history,64.0,8.0,7741440.0,1469.3333333333333,2048.0,34.4375,43.0,4438016.0,11088896.0,4706,0.9318958352571798,1.0196759259259258,1.0447670901391408,-0.1466129914020178
characteristic,64.0,8.0,4391936.0,1066.6666666666667,1792.0,25.71875,37.0,2165760.0,6294016.0,2974,1.6418286829903197,1.7973303800419678,1.3989469420818144,0.7842552557029969
oracle,64.0,8.0,3388672.0,738.6666666666666,1024.0,19.21875,24.5,2453504.0,5182720.0,3198,1.9938750308718203,2.3294553146483343,1.8720867208672085,1.0
static,128.0,8.0,8548096.0,1946.6666666666667,3328.0,26.770833333333332,37.0,0.0,10043136.0,0,1.0289312023654762,0.9234524273007697,0.8832684824902723,0.05640872720043735
reactive,128.0,8.0,7893760.0,1578.6666666666667,2304.0,23.645833333333332,29.0,2455040.0,10333696.0,3197,1.0,1.0,1.0,0.0
history,128.0,8.0,7741440.0,1469.3333333333333,2048.0,22.958333333333332,27.0,4438016.0,11088896.0,4706,0.9318958352571798,1.0196759259259258,1.02994555353902,-0.1466129914020178
characteristic,128.0,8.0,4391936.0,1066.6666666666667,1792.0,17.385416666666668,23.0,2165760.0,6294016.0,2974,1.6418286829903197,1.7973303800419678,1.3600958657878968,0.7842552557029969
oracle,128.0,8.0,3388672.0,738.6666666666666,1024.0,13.447916666666666,17.25,2453504.0,5182720.0,3198,1.9938750308718203,2.3294553146483343,1.758326878388846,1.0
static,256.0,8.0,8548096.0,1946.6666666666667,3328.0,19.166666666666668,24.25,0.0,10043136.0,0,1.0289312023654762,0.9234524273007697,0.9119565217391304,0.05640872720043735
reactive,256.0,8.0,7893760.0,1578.6666666666667,2304.0,17.479166666666668,20.0,2455040.0,10333696.0,3197,1.0,1.0,1.0,0.0
history,256.0,8.0,7741440.0,1469.3333333333333,2048.0,17.21875,19.25,4438016.0,11088896.0,4706,0.9318958352571798,1.0196759259259258,1.015124016938899,-0.1466129914020178
characteristic,256.0,8.0,4391936.0,1066.6666666666667,1792.0,13.21875,17.0,2165760.0,6294016.0,2974,1.6418286829903197,1.7973303800419678,1.3223010244286841,0.7842552557029969
oracle,256.0,8.0,3388672.0,738.6666666666666,1024.0,10.5625,14.0,2453504.0,5182720.0,3198,1.9938750308718203,2.3294553146483343,1.6548323471400395,1.0
