timestep,policy,actual_cost,predicted_cost,placement_scheduled,activation_target
73,oracle,198.0,172.0,True,75
74,oracle,172.0,185.0,True,76
75,oracle,172.0,181.0,True,77
76,oracle,185.0,179.0,True,78
77,oracle,181.0,172.0,True,79
78,oracle,179.0,175.0,True,80
79,oracle,172.0,175.0,True,81
80,oracle,175.0,181.0,True,82
81,oracle,175.0,166.0,True,83
82,oracle,181.0,185.0,True,84
83,oracle,166.0,171.0,True,85
84,oracle,185.0,177.0,True,86
85,oracle,171.0,173.0,True,87
86,oracle,177.0,166.0,True,88
87,oracle,173.0,162.0,True,89
88,oracle,166.0,196.0,True,90
89,oracle,162.0,186.0,True,91
90,oracle,196.0,187.0,True,92
91,oracle,186.0,193.0,True,93
92,oracle,187.0,200.0,True,94
93,oracle,193.0,190.0,True,95
94,oracle,200.0,210.0,True,96
95,oracle,190.0,190.0,True,97
96,oracle,210.0,204.0,True,98
97,oracle,190.0,187.0,True,99
98,oracle,204.0,,False,-1
99,oracle,187.0,,False,-1
