timestep,policy,total_messages,total_bytes,byte_hops,max_link_load_bytes,mean_active_link_load_bytes,hot_link_count,max_hops,serialization_cycles,estimated_latency_cycles,migration_byte_hops,moved_tasks,realized_objective
78,static,64.0,16384.0,80896.0,1024.0,366.0452488687783,1,13,16.0,29.0,0.0,0,84992.0
79,static,64.0,16384.0,80640.0,1024.0,366.54545454545456,1,13,16.0,29.0,0.0,0,84736.0
80,static,64.0,16384.0,83200.0,1024.0,378.1818181818182,1,13,16.0,29.0,0.0,0,87296.0
81,static,64.0,16384.0,84736.0,1024.0,386.92237442922374,1,13,16.0,29.0,0.0,0,88832.0
82,static,64.0,16384.0,85504.0,1024.0,390.42922374429224,1,13,16.0,29.0,0.0,0,89600.0
83,static,64.0,16384.0,86016.0,1024.0,390.9818181818182,2,13,16.0,29.0,0.0,0,90112.0
84,static,64.0,16384.0,86784.0,1024.0,394.4727272727273,2,13,16.0,29.0,0.0,0,90880.0
85,static,64.0,16384.0,87552.0,768.0,397.96363636363634,19,12,12.0,24.0,0.0,0,90624.0
86,static,64.0,16384.0,88832.0,1024.0,403.7818181818182,3,12,16.0,28.0,0.0,0,92928.0
87,static,64.0,16384.0,90368.0,768.0,410.76363636363635,22,12,12.0,24.0,0.0,0,93440.0
88,static,64.0,16384.0,90880.0,768.0,411.2217194570136,20,12,12.0,24.0,0.0,0,93952.0
89,static,64.0,16384.0,91904.0,1024.0,415.8552036199095,3,12,16.0,28.0,0.0,0,96000.0
90,static,64.0,16384.0,92416.0,1024.0,418.17194570135746,3,12,16.0,28.0,0.0,0,96512.0
91,static,64.0,16384.0,92928.0,1024.0,422.4,3,12,16.0,28.0,0.0,0,97024.0
92,static,64.0,16384.0,92928.0,1024.0,422.4,3,12,16.0,28.0,0.0,0,97024.0
93,static,64.0,16384.0,93440.0,1024.0,422.80542986425337,3,12,16.0,28.0,0.0,0,97536.0
94,static,64.0,16384.0,93952.0,1024.0,425.1221719457014,3,12,16.0,28.0,0.0,0,98048.0
95,static,64.0,16384.0,94464.0,1024.0,427.43891402714934,3,12,16.0,28.0,0.0,0,98560.0
96,static,64.0,16384.0,95488.0,1024.0,432.07239819004525,3,12,16.0,28.0,0.0,0,99584.0
97,static,64.0,16384.0,95744.0,1024.0,433.2307692307692,3,12,16.0,28.0,0.0,0,99840.0
98,static,64.0,16384.0,96000.0,1024.0,432.43243243243245,3,12,16.0,28.0,0.0,0,100096.0
99,static,64.0,16384.0,97280.0,1024.0,436.23318385650225,3,12,16.0,28.0,0.0,0,101376.0
4,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
5,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
6,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
7,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
8,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
9,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
10,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
11,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
12,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
13,reactive,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
14,reactive,64.0,16384.0,768.0,256.0,256.0,3,1,4.0,5.0,0.0,0,1792.0
15,reactive,64.0,16384.0,2816.0,256.0,256.0,11,1,4.0,5.0,0.0,0,3840.0
16,reactive,64.0,16384.0,6144.0,256.0,256.0,24,7,4.0,11.0,0.0,0,7168.0
17,reactive,64.0,16384.0,10752.0,256.0,256.0,42,7,4.0,11.0,0.0,0,11776.0
18,reactive,64.0,16384.0,12544.0,256.0,256.0,49,7,4.0,11.0,0.0,0,13568.0
19,reactive,64.0,16384.0,13056.0,256.0,256.0,51,7,4.0,11.0,0.0,0,14080.0
20,reactive,64.0,16384.0,13568.0,256.0,256.0,53,7,4.0,11.0,0.0,0,14592.0
21,reactive,64.0,16384.0,20480.0,512.0,259.24050632911394,1,8,8.0,16.0,0.0,0,22528.0
22,reactive,64.0,16384.0,26112.0,512.0,263.75757575757575,3,8,8.0,16.0,0.0,0,28160.0
23,reactive,64.0,16384.0,26880.0,512.0,263.52941176470586,3,8,8.0,16.0,0.0,0,28928.0
24,reactive,64.0,16384.0,28672.0,512.0,263.04587155963304,3,8,8.0,16.0,0.0,0,30720.0
25,reactive,64.0,16384.0,29952.0,512.0,262.7368421052632,3,8,8.0,16.0,0.0,0,32000.0
26,reactive,64.0,16384.0,31232.0,512.0,260.26666666666665,2,8,8.0,16.0,0.0,0,33280.0
27,reactive,64.0,16384.0,37376.0,512.0,261.3706293706294,3,8,8.0,16.0,512.0,2,39680.0
28,reactive,64.0,16384.0,40192.0,512.0,260.987012987013,3,8,8.0,16.0,0.0,0,42240.0
29,reactive,64.0,16384.0,40448.0,512.0,262.64935064935065,4,8,8.0,16.0,1536.0,4,43264.0
30,reactive,64.0,16384.0,42752.0,512.0,262.2822085889571,4,8,8.0,16.0,0.0,0,44800.0
31,reactive,64.0,16384.0,43008.0,512.0,262.2439024390244,4,8,8.0,16.0,0.0,0,45056.0
32,reactive,64.0,16384.0,44800.0,512.0,263.52941176470586,5,8,8.0,16.0,0.0,0,46848.0
33,reactive,64.0,16384.0,45568.0,512.0,263.39884393063585,5,8,8.0,16.0,0.0,0,47616.0
34,reactive,64.0,16384.0,45568.0,512.0,260.3885714285714,3,8,8.0,16.0,512.0,2,47872.0
35,reactive,64.0,16384.0,45568.0,512.0,260.3885714285714,3,8,8.0,16.0,0.0,0,47616.0
36,reactive,64.0,16384.0,46592.0,512.0,258.84444444444443,2,8,8.0,16.0,0.0,0,48640.0
37,reactive,64.0,16384.0,49152.0,512.0,258.69473684210527,2,8,8.0,16.0,0.0,0,51200.0
38,reactive,64.0,16384.0,49664.0,768.0,275.9111111111111,1,14,12.0,26.0,2560.0,6,54016.0
39,reactive,64.0,16384.0,49664.0,768.0,275.9111111111111,1,14,12.0,26.0,0.0,0,52736.0
40,reactive,64.0,16384.0,49664.0,768.0,275.9111111111111,1,14,12.0,26.0,0.0,0,52736.0
41,reactive,64.0,16384.0,49408.0,512.0,280.72727272727275,17,14,8.0,22.0,2048.0,4,52480.0
42,reactive,64.0,16384.0,49920.0,512.0,278.8826815642458,16,13,8.0,21.0,512.0,2,52224.0
43,reactive,64.0,16384.0,49664.0,512.0,282.1818181818182,18,13,8.0,21.0,512.0,2,51968.0
44,reactive,64.0,16384.0,48896.0,512.0,279.4057142857143,16,13,8.0,21.0,0.0,0,50944.0
45,reactive,64.0,16384.0,50944.0,512.0,284.6033519553073,20,13,8.0,21.0,0.0,0,52992.0
